Network Name,IP Address,u_marsha,u_lsp
HVNCY,184.81.57.194,HVNCY,Blueprint RF
ILERI,97.77.246.66,ILERI,Blueprint RF
ILMCY,12.170.8.210,ILMCY,Blueprint RF
JAXCA,12.228.48.66,JAXCA,SONIFI
JAXCH,12.173.145.6,JAXCH,Blueprint RF
LBBTS,216.131.28.84,LBBTS,Blueprint RF
LEXRI,24.172.241.18,LEXRI,Blueprint RF
LSEFI,63.144.123.2,LSEFI,Blueprint RF
MCNFW,66.210.74.66,MCNFW,Blueprint RF
MCOYW,67.231.199.68,MCOYW,Blueprint RF
MHKCY,184.80.242.60,MHKCY,Blueprint RF
MHKFP,70.167.45.228,MHKFP,Blueprint RF
MKTCY,68.232.230.194,MKTCY,SONIFI
MLUFS,208.46.188.247,MLUFS,Blueprint RF
MSYMM,209.96.202.10,MSYMM,Blueprint RF
OKCQS,12.41.205.135,OKCQS,Blueprint RF
OKCRI,12.31.192.162,OKCRI,Blueprint RF
POUCY,184.75.127.3,POUCY,Blueprint RF
RDMFI,66.39.161.154,RDMFI,SONIFI
RDMTS,67.59.65.218,RDMTS,SONIFI
SJCFP,12.1.67.138,SJCFP,Blueprint RF
SJCNO,209.37.255.2,SJCNO,SONIFI
SYRRI,63.85.18.130,SYRRI,Blueprint RF
TPATN,97.76.251.226,TPATN,Blueprint RF
VRPFI,50.201.238.98,VRPFI,Blueprint RF
ALOCL,159.242.49.60,ALOCL,SONIFI
BMGSH,192.210.25.158,BMGSH,SONIFI
CHIBG,12.229.169.9,CHIBG,SONIFI
CIDEL,192.154.14.165,CIDEL,SONIFI
COSSD,50.223.9.164,COSSD,SONIFI
DFWMC,12.190.109.162,DFWMC,SONIFI
DTTTT,12.238.140.7,DTTTT,SONIFI
DTWRM,144.121.181.75,DTWRM,SONIFI
FAYSH,65.133.125.243,FAYSH,SONIFI
FLLMP,134.6.148.131,FLLMP,SONIFI
GSOAB,96.10.149.34,GSOAB,SONIFI
GSOGA,97.75.157.2,GSOGA,SONIFI
HOUST,50.201.74.106,HOUST,SONIFI
HPNSI,12.68.74.220,HPNSI,SONIFI
HSVAV,24.246.103.2,HSVAV,SONIFI
INDSI,98.21.160.188,INDSI,SONIFI
ISPRH,24.246.100.21,ISPRH,SONIFI
LASVN,98.185.117.3,LASVN,SONIFI
LEXRD,147.0.200.34,LEXRD,SONIFI
MCNTX,12.16.129.108,MCNTX,SONIFI
MCOWS,65.127.191.10,MCOWS,SONIFI
